"","INSTNM","GRAD_DEBT_MDN"
"1","Alabama A & M University","31000"
"2","University of Alabama at Birmingham","22250"
"3","Amridge University","31417"
"4","University of Alabama in Huntsville","21450"
"5","Alabama State University","31000"
"6","The University of Alabama","23072"
"7","Central Alabama Community College","10051"
"8","Athens State University","19250"
"9","Auburn University at Montgomery","25000"
"10","Auburn University","21500"
"11","Birmingham-Southern College","25800"
"12","Chattahoochee Valley Community College","10500"
"13","South University-Montgomery","25379"
"14","Enterprise State Community College","8135"
"15","Coastal Alabama Community College","11747"
"16","Faulkner University","23000"
"17","Gadsden State Community College","PrivacySuppressed"
"18","New Beginning College of Cosmetology","7667"
"19","George C Wallace Community College-Dothan","PrivacySuppressed"
"20","George C Wallace State Community College-Hanceville","11000"
"21","George C Wallace State Community College-Selma","PrivacySuppressed"
"22","Herzing University-Birmingham","22052"
"23","Huntingdon College","27000"
"24","Heritage Christian University","PrivacySuppressed"
"25","J. F. Drake State Community and Technical College","PrivacySuppressed"
"26","J F Ingram State Technical College","PrivacySuppressed"
"27","Jacksonville State University","22484"
"28","Jefferson State Community College","9950"
"29","John C Calhoun State Community College","11500"
"30","Judson College","27000"
"31","Lawson State Community College","PrivacySuppressed"
"32","University of West Alabama","26000"
"33","Lurleen B Wallace Community College","PrivacySuppressed"
"34","Marion Military Institute","12000"
"35","Miles College","33000"
"36","University of Mobile","27000"
"37","University of Montevallo","23823"
"38","Northwest-Shoals Community College","10000"
"39","University of North Alabama","22250"
"40","Northeast Alabama Community College","6500"
"41","Oakwood University","27000"
"42","Reid State Technical College","PrivacySuppressed"
"43","Bishop State Community College","PrivacySuppressed"
"44","Samford University","19727"
"45","Selma University","PrivacySuppressed"
"46","Shelton State Community College","PrivacySuppressed"
"47","Snead State Community College","8308"
"48","University of South Alabama","25000"
"49","Spring Hill College","27000"
"50","Stillman College","29884"
"51","Talladega College","28500"
"52","H Councill Trenholm State Community College","PrivacySuppressed"
"53","Troy University","25000"
"54","Tuskegee University","27000"
"55","United States Sports Academy","26402"
"56","Bevill State Community College","PrivacySuppressed"
"57","University of Alaska Anchorage","20500"
"58","Alaska Bible College","PrivacySuppressed"
"59","University of Alaska Fairbanks","19582"
"60","University of Alaska Southeast","20000"
"61","Alaska Pacific University","22272"
"62","Alaska Vocational Technical Center","PrivacySuppressed"
"63","Charter College","14171"
"64","Alaska Career College","9033"
"65","Empire Beauty School-Tucson","13000"
"66","Carrington College-Phoenix North","9500"
"67","CollegeAmerica-Flagstaff","26143"
"68","Arizona Academy of Beauty-East","4483"
"69","Platt College-Arizona Automotive Institute Arizona","14000"
"70","Brookline College-Phoenix","9500"
"71","Arizona State University Campus Immersion","20000"
"72","Arizona Western College","5151"
"73","University of Arizona","20137"
"74","Southwest University of Visual Arts-Tucson","40625"
"75","Central Arizona College","10308"
"76","Charles of Italy Beauty College","7389"
"77","Cochise County Community College District","7357"
"78","Empire Beauty School-Flagstaff","11667"
"79","Empire Beauty School-Chandler","11667"
"80","Avalon School of Cosmetology-Mesa","7324"
"81","Eastern Arizona College","PrivacySuppressed"
"82","Embry-Riddle Aeronautical University-Prescott","24250"
"83","The School of Architecture","PrivacySuppressed"
"84","Glendale Community College","7469"
"85","Grand Canyon University","21557"
"86","GateWay Community College","6750"
"87","Mesa Community College","8000"
"88","Mohave Community College","12474"
"89","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","13875"
"90","Dine College","PrivacySuppressed"
"91","Northern Arizona University","19375"
"92","Northland Pioneer College","PrivacySuppressed"
"93","Ottawa University-Phoenix","21813"
"94","Phoenix College","8000"
"95","Pima Community College","7125"
"96","Pima Medical Institute-Tucson","9500"
"97","Pima Medical Institute-Albuquerque","9500"
"98","Prescott College","16555"
"99","Refrigeration School Inc","9000"
"100","Rio Salado College","9128"
